NAME,TIME,LAT,LON,DEPTH,MAG,MTYPE,CONTRIBUTOR
2009-11-23T19-14-08,2009-11-23T19-14-08.060,41.5691,-108.8264,11.1,2.5,ML,ANF
2009-09-08T17-55-04,2009-09-08T17-55-04.190,41.4931,-108.803,1.3,2.6,ML,ANF
2009-06-01T17-22-47,2009-06-01T17-22-47.000,41.609,-108.774,0.4,3.0,ML,PDE-Q
2009-05-05T13-40-43,2009-05-05T13-40-43.940,41.588,-109.3144,26.0,3.0,ML,ANF
2009-04-20T17-53-38,2009-04-20T17-53-38.440,41.6998,-110.6275,3.0,2.5,ML,ANF
2009-04-17T18-35-23,2009-04-17T18-35-23.070,41.7977,-110.6184,8.9,2.5,ML,ANF
2009-04-16T18-23-21,2009-04-16T18-23-21.320,41.6856,-110.6516,7.9,2.6,ML,ANF
2009-04-14T16-56-38,2009-04-14T16-56-38.140,41.7042,-110.6316,9.0,2.6,ML,ANF
2009-04-13T17-28-07,2009-04-13T17-28-07.410,41.721,-110.687,0.0,2.5,ML,NEIC
2009-04-08T17-54-04,2009-04-08T17-54-04.030,41.1525,-109.553,10.0,2.5,ML,ANF
2009-04-01T17-36-58,2009-04-01T17-36-58.980,41.6824,-110.6313,2.1,2.5,ML,ANF
2009-03-19T19-06-07,2009-03-19T19-06-07.760,41.8112,-110.6174,8.2,2.8,ML,ANF
2009-03-13T17-39-47,2009-03-13T17-39-47.460,41.8099,-110.6039,1.3,2.5,ML,ANF
2009-03-07T02-45-10,2009-03-07T02-45-10.000,41.67,-109.92,4.5,3.4,ML,PDE-Q
2009-02-19T16-53-08,2009-02-19T16-53-08.740,41.506,-108.8102,6.4,2.5,ML,ANF
2009-02-10T19-08-26,2009-02-10T19-08-26.700,41.7022,-110.6354,8.9,2.7,ML,ANF
2009-01-29T18-02-07,2009-01-29T18-02-07.560,41.6945,-110.6229,8.8,2.6,ML,ANF
2009-01-26T21-11-20,2009-01-26T21-11-20.420,41.704,-110.613,0.0,2.6,ML,NEIC
2009-01-23T21-59-33,2009-01-23T21-59-33.000,41.669,-108.822,1.1,3.1,ML,PDE-Q
2009-01-23T20-47-06,2009-01-23T20-47-06.180,41.8063,-110.607,11.4,2.5,ML,ANF
2009-01-16T18-17-56,2009-01-16T18-17-56.550,41.809,-110.594,9.1,2.7,ML,ANF
